transform	maxChar	path	score	size	text
raw	150	sonnets/110-CX.txt	127221.00	150	heart another youth, And worse essays prov’d thee my best of love. Now all is done, save what shall have no end: Mine appetite I never more will grind
raw	200	sonnets/12-XII.txt	139820.00	200	of leaves, Which erst from heat did canopy the herd, And summer’s green all girded up in sheaves, Borne on the bier with white and bristly beard, Then of thy beauty do I question make, That thou among
